type_freq_dropped	filename	weighted	mean_ent_uncond	actual_ent	MI	difference	log_type_freq
1	2_pairwise_numbers/drop1_kadiweu_entropy_nonweighted_Rcalc.txt	0	2.52758098863401	1.38562931052088	1.14195167811313	0.00889502945133014	0
1	2_pairwise_numbers/drop2_kadiweu_entropy_nonweighted_Rcalc.txt	0	2.53287302896246	1.392578900139	1.14029412882346	0.00194543983320994	0
12	2_pairwise_numbers/drop3_kadiweu_entropy_nonweighted_Rcalc.txt	0	2.52106906599653	1.39905204338734	1.12201702260919	-0.00452770341512987	2.484906649788
6	2_pairwise_numbers/drop4_kadiweu_entropy_nonweighted_Rcalc.txt	0	2.51296661833215	1.38993137812189	1.12303524021026	0.00459296185031999	1.79175946922805
1	2_pairwise_numbers/drop5_kadiweu_entropy_nonweighted_Rcalc.txt	0	2.52141285750436	1.38969146085719	1.13172139664717	0.00483287911502006	0
1	2_pairwise_numbers/drop6_kadiweu_entropy_nonweighted_Rcalc.txt	0	2.50197132750116	1.39210245376922	1.10986887373194	0.00242188620299011	0
1	2_pairwise_numbers/drop7_kadiweu_entropy_nonweighted_Rcalc.txt	0	2.50374489075329	1.39495163034346	1.10879326040983	-0.000427290371249889	0
1	2_pairwise_numbers/drop8_kadiweu_entropy_nonweighted_Rcalc.txt	0	2.47435993116732	1.39442616960445	1.07993376156287	9.81703677600532e-05	0
1	2_pairwise_numbers/drop9_kadiweu_entropy_nonweighted_Rcalc.txt	0	2.51963929425223	1.38443448701815	1.13520480723408	0.0100898529540601	0
3	2_pairwise_numbers/drop10_kadiweu_entropy_nonweighted_Rcalc.txt	0	2.5311820401722	1.40030232158326	1.13087971858894	-0.00577798161104992	1.09861228866811
6	2_pairwise_numbers/drop11_kadiweu_entropy_nonweighted_Rcalc.txt	0	2.517426486066	1.3891785781836	1.1282479078824	0.00534576178861013	1.79175946922805
2	2_pairwise_numbers/drop12_kadiweu_entropy_nonweighted_Rcalc.txt	0	2.51520506221139	1.38423079943268	1.13097426277871	0.0102935405395301	0.693147180559945
19	2_pairwise_numbers/drop13_kadiweu_entropy_nonweighted_Rcalc.txt	0	2.52402184345048	1.39374229390114	1.13027954954934	0.00078204607107013	2.94443897916644
1	2_pairwise_numbers/drop14_kadiweu_entropy_nonweighted_Rcalc.txt	0	2.52187172887806	1.38456368433305	1.13730804454501	0.00996065563916004	0
1	2_pairwise_numbers/drop15_kadiweu_entropy_nonweighted_Rcalc.txt	0	2.53287302896246	1.38724011927589	1.14563290968658	0.00728422069631995	0
1	2_pairwise_numbers/drop16_kadiweu_entropy_nonweighted_Rcalc.txt	0	2.50619100460688	1.38929082046791	1.11690018413898	0.00523351950430007	0
7	2_pairwise_numbers/drop17_kadiweu_entropy_nonweighted_Rcalc.txt	0	2.51577702566808	1.3883280162584	1.12744900940968	0.00619632371381007	1.94591014905531
1	2_pairwise_numbers/drop18_kadiweu_entropy_nonweighted_Rcalc.txt	0	2.51694023418752	1.3729131569915	1.14402707719602	0.02161118298071	0
13	2_pairwise_numbers/drop19_kadiweu_entropy_nonweighted_Rcalc.txt	0	2.52221552038589	1.39246241963773	1.12975310074816	0.00206192033448005	2.56494935746154
11	2_pairwise_numbers/drop20_kadiweu_entropy_nonweighted_Rcalc.txt	0	2.52554620833592	1.39692163752918	1.12862457080674	-0.00239729755696994	2.39789527279837
1	2_pairwise_numbers/drop21_kadiweu_entropy_nonweighted_Rcalc.txt	0	2.49788088696815	1.3877805371651	1.11010034980305	0.00674380280711007	0
1	2_pairwise_numbers/drop22_kadiweu_entropy_nonweighted_Rcalc.txt	0	2.5192955027444	1.39161138764282	1.12768411510158	0.00291295232939004	0
15	2_pairwise_numbers/drop23_kadiweu_entropy_nonweighted_Rcalc.txt	0	2.46261766272643	1.39807718309154	1.06454047963489	-0.00355284311932991	2.70805020110221
8	2_pairwise_numbers/drop24_kadiweu_entropy_nonweighted_Rcalc.txt	0	2.52106906599653	1.39905204338734	1.12201702260919	-0.00452770341512987	2.07944154167984
6	2_pairwise_numbers/drop25_kadiweu_entropy_nonweighted_Rcalc.txt	0	2.50454755363482	1.39111387049844	1.11343368313638	0.00341046947376999	1.79175946922805
11	2_pairwise_numbers/drop26_kadiweu_entropy_nonweighted_Rcalc.txt	0	2.52145162674268	1.39410241645042	1.12734921029226	0.000421923521789935	2.39789527279837
1	2_pairwise_numbers/drop27_kadiweu_entropy_nonweighted_Rcalc.txt	0	2.51408603687782	1.37535751077982	1.13872852609799	0.0191668291923901	0
14	2_pairwise_numbers/drop28_kadiweu_entropy_nonweighted_Rcalc.txt	0	2.52554620833592	1.39987903338054	1.12566717495537	-0.00535469340832995	2.63905732961526
6	2_pairwise_numbers/drop29_kadiweu_entropy_nonweighted_Rcalc.txt	0	2.5231713883423	1.3800036400904	1.14316774825189	0.0145206998818099	1.79175946922805
1	2_pairwise_numbers/drop30_kadiweu_entropy_nonweighted_Rcalc.txt	0	2.51351407342113	1.39354525161424	1.11996882180688	0.000979088357970115	0
8	2_pairwise_numbers/drop31_kadiweu_entropy_nonweighted_Rcalc.txt	0	2.51041155741996	1.39161829701013	1.11879326040983	0.00290604296207997	2.07944154167984
6	2_pairwise_numbers/drop32_kadiweu_entropy_nonweighted_Rcalc.txt	0	2.52128875465015	1.39365553889554	1.12763321575462	0.000868801076669978	1.79175946922805
6	2_pairwise_numbers/drop33_kadiweu_entropy_nonweighted_Rcalc.txt	0	2.53083824866437	1.38999551388182	1.14084273478255	0.00452882609038996	1.79175946922805
1	2_pairwise_numbers/drop34_kadiweu_entropy_nonweighted_Rcalc.txt	0	2.50573139535629	1.39169985709497	1.11403153826132	0.00282448287724013	0
4	2_pairwise_numbers/drop35_kadiweu_entropy_nonweighted_Rcalc.txt	0	2.50454755363482	1.39111387049844	1.11343368313638	0.00341046947376999	1.38629436111989
11	2_pairwise_numbers/drop36_kadiweu_entropy_nonweighted_Rcalc.txt	0	2.51280374623963	1.39030154222646	1.12250220401317	0.00422279774575007	2.39789527279837
6	2_pairwise_numbers/drop37_kadiweu_entropy_nonweighted_Rcalc.txt	0	2.51666425475851	1.38984410700752	1.12682014775099	0.00468023296469	1.79175946922805
6	2_pairwise_numbers/drop38_kadiweu_entropy_nonweighted_Rcalc.txt	0	2.52935455188614	1.38008130975793	1.14927324212821	0.01444303021428	1.79175946922805
18	2_pairwise_numbers/drop39_kadiweu_entropy_nonweighted_Rcalc.txt	0	2.52367805194265	1.39024163279959	1.13343641914307	0.00428270717262014	2.89037175789616
16	2_pairwise_numbers/drop40_kadiweu_entropy_nonweighted_Rcalc.txt	0	2.5311820401722	1.40030232158326	1.13087971858894	-0.00577798161104992	2.77258872223978
1	2_pairwise_numbers/drop41_kadiweu_entropy_nonweighted_Rcalc.txt	0	2.52766501478061	1.37669134098439	1.15097367379622	0.0178329989878201	0
1	2_pairwise_numbers/drop42_kadiweu_entropy_nonweighted_Rcalc.txt	0	2.50378365999161	1.38880841407903	1.11497524591257	0.00571592589318004	0
17	2_pairwise_numbers/drop43_kadiweu_entropy_nonweighted_Rcalc.txt	0	2.50202525253508	1.37801899407362	1.12400625846146	0.01650534589859	2.83321334405622
8	2_pairwise_numbers/drop44_kadiweu_entropy_nonweighted_Rcalc.txt	0	2.51700804626634	1.39358095052587	1.12342709574047	0.000943389446339982	2.07944154167984
1	2_pairwise_numbers/drop45_kadiweu_entropy_nonweighted_Rcalc.txt	0	2.50607518686412	1.38652840400007	1.11954678286405	0.00799593597213999	0
6	2_pairwise_numbers/drop46_kadiweu_entropy_nonweighted_Rcalc.txt	0	2.526826241533	1.38597047916638	1.14085576236662	0.00855386080582998	1.79175946922805
12	2_pairwise_numbers/drop47_kadiweu_entropy_nonweighted_Rcalc.txt	0	2.51717091835887	1.3932107864213	1.12396013193756	0.00131355355091012	2.484906649788
