type_freq_dropped	filename	weighted	mean_ent_uncond	actual_ent	MI	difference	log_type_freq
88	2_pairwise_numbers/drop1_voro_entropy_nonweighted_Rcalc.txt	0	1.05497989348568	0.858457652486958	0.196522240998727	0.0163565337192859	4.47733681447821
15	2_pairwise_numbers/drop2_voro_entropy_nonweighted_Rcalc.txt	0	1.0235939741684	0.860334987496718	0.163258986671684	0.014479198709526	2.70805020110221
3	2_pairwise_numbers/drop3_voro_entropy_nonweighted_Rcalc.txt	0	1.05799802217017	0.872097718659224	0.185900303510947	0.00271646754701993	1.09861228866811
87	2_pairwise_numbers/drop4_voro_entropy_nonweighted_Rcalc.txt	0	1.06399542627753	0.878531321693583	0.185464104583951	-0.00371713548733899	4.46590811865458
689	2_pairwise_numbers/drop5_voro_entropy_nonweighted_Rcalc.txt	0	1.04784960021412	0.866640513941521	0.181209086272595	0.00817367226472299	6.53524127101366
2	2_pairwise_numbers/drop6_voro_entropy_nonweighted_Rcalc.txt	0	1.0049398025776	0.842721662603721	0.162218139973877	0.032092523602523	0.693147180559945
58	2_pairwise_numbers/drop7_voro_entropy_nonweighted_Rcalc.txt	0	1.04843578164858	0.871102246564702	0.177333535083875	0.00371193964154193	4.06044301054642
127	2_pairwise_numbers/drop8_voro_entropy_nonweighted_Rcalc.txt	0	1.05443318575594	0.877649271364772	0.176783914391168	-0.00283508515852804	4.84418708645859
9	2_pairwise_numbers/drop9_voro_entropy_nonweighted_Rcalc.txt	0	1.05278265134996	0.870841723637645	0.181940927712311	0.00397246256859896	2.19722457733622
437	2_pairwise_numbers/drop10_voro_entropy_nonweighted_Rcalc.txt	0	1.04565235807839	0.867634222107346	0.178018135971042	0.00717996409889798	6.07993319509559
13	2_pairwise_numbers/drop11_voro_entropy_nonweighted_Rcalc.txt	0	1.03659765328615	0.866190327209047	0.170407326077107	0.00862385899719698	2.56494935746154
3	2_pairwise_numbers/drop12_voro_entropy_nonweighted_Rcalc.txt	0	1.03260950696025	0.864535346565733	0.16807416039452	0.0102788396405109	1.09861228866811
355	2_pairwise_numbers/drop13_voro_entropy_nonweighted_Rcalc.txt	0	1.05379384344572	0.872397360483021	0.181396482962697	0.00241682572322299	5.87211778947542
1601	2_pairwise_numbers/drop14_voro_entropy_nonweighted_Rcalc.txt	0	1.06701355496202	0.882293740771047	0.184719814190974	-0.00747955456480309	7.37838371299671
24	2_pairwise_numbers/drop15_voro_entropy_nonweighted_Rcalc.txt	0	1.07301095906938	0.884741481643338	0.188269477426047	-0.00992729543709403	3.17805383034795
5	2_pairwise_numbers/drop16_voro_entropy_nonweighted_Rcalc.txt	0	1.06399542627753	0.879216109685402	0.184779316592133	-0.00440192347915802	1.6094379124341
115	2_pairwise_numbers/drop17_voro_entropy_nonweighted_Rcalc.txt	0	1.05988326169045	0.868996822333364	0.190886439357089	0.00581736387288001	4.74493212836325
18	2_pairwise_numbers/drop18_voro_entropy_nonweighted_Rcalc.txt	0	1.05686513300597	0.871702961938553	0.185162171067414	0.00311122426769095	2.89037175789616
257	2_pairwise_numbers/drop19_voro_entropy_nonweighted_Rcalc.txt	0	1.04423160292412	0.861962449653433	0.182269153270692	0.0128517365528109	5.54907608489522
230	2_pairwise_numbers/drop20_voro_entropy_nonweighted_Rcalc.txt	0	1.05745131444043	0.878681029459119	0.178770284981309	-0.00386684325287501	5.4380793089232
393	2_pairwise_numbers/drop21_voro_entropy_nonweighted_Rcalc.txt	0	1.06344871854779	0.880389661416095	0.183059057131696	-0.00557547520985102	5.97380961186926
6	2_pairwise_numbers/drop22_voro_entropy_nonweighted_Rcalc.txt	0	1.05443318575594	0.864008425865246	0.190424759890695	0.010805760340998	1.79175946922805
133	2_pairwise_numbers/drop23_voro_entropy_nonweighted_Rcalc.txt	0	1.045613186078	0.868750442534119	0.176862743543885	0.00606374367212492	4.89034912822175
