degree	meanWeight	summedWeight	resid_weight	clusterCoef_local	meanShortestPath_local
4	2.75	11	2.00046468234216	0.666666666666667	4.36734693877551
7	2.42857142857143	17	4.28478008366018	0.428571428571429	4.10204081632653
6	2.33333333333333	14	2.66812719568334	0.4	3.89795918367347
14	2.07142857142857	29	6.66326087518901	0.582417582417582	4.20408163265306
17	1.94117647058824	33	6.49217081047949	0.683823529411765	3.59183673469388
11	1.63636363636364	18	-0.471593641380079	0.709090909090909	4.3469387755102
14	1.71428571428571	24	1.26526431717557	0.879120879120879	3.55102040816327
19	1.63157894736842	31	1.9663414777187	0.56140350877193	3.36734693877551
3	2.33333333333333	7	-1.10164573565603	1	4.44897959183673
6	2	12	0.578700808574143	0.466666666666667	4.08163265306122
3	2.33333333333333	7	-0.207381864564087	0.333333333333333	6.71428571428571
0	0	0	-2.72518537637473	0	48
2	3	6	-0.756624218108233	1	6.77551020408163
5	1.6	8	-2.25513044809645	0.6	4.04081632653061
11	1.63636363636364	18	-0.495982656046223	0.727272727272727	3.77551020408163
15	1.2	18	-5.96084958674352	0.79047619047619	3.55102040816327
13	1.69230769230769	22	1.01565269936669	0.576923076923077	3.73469387755102
11	1.90909090909091	21	2.50401734395378	0.727272727272727	3.81632653061224
5	1.8	9	-1.38927002876024	0.7	3.91836734693878
1	2	2	-2.07020689392253	0	5.3265306122449
15	1.46666666666667	22	-1.92252399226815	0.761904761904762	3.44897959183673
4	3.25	13	4.00046468234215	0.666666666666667	5.97959183673469
15	1.4	21	-2.90974879410969	0.752380952380952	3.42857142857143
14	1.92857142857143	27	4.66326087518901	0.582417582417582	4.12244897959184
17	1.82352941176471	31	4.49217081047949	0.683823529411765	3.53061224489796
16	1.375	22	-3.15097182662003	0.675	3.36734693877551
11	1.63636363636364	18	-0.471593641380079	0.709090909090909	4.26530612244898
14	1.42857142857143	20	-2.73473568282443	0.879120879120879	3.51020408163265
19	1.68421052631579	32	2.9663414777187	0.56140350877193	3.36734693877551
5	2	10	-0.255130448096452	0.6	4.12244897959184
2	2	4	-1.41522841147032	0	6.75510204081633
1	4	4	-0.070206893922528	0	7.79591836734694
13	1.84615384615385	24	2.92966578868477	0.641025641025641	4.20408163265306
4	1.75	7	-2.44666725320382	1	4.10204081632653
10	1.8	18	0.751482802836996	0.8	4.3469387755102
4	2.5	10	0.553332746796178	1	4.6734693877551
12	1.75	21	1.2809408997367	0.636363636363636	4.40816326530612
15	1.26666666666667	19	-4.96084958674352	0.79047619047619	3.55102040816327
17	1.23529411764706	21	-5.40919714491478	0.610294117647059	3.24489795918367
4	1.5	6	-3.44666725320382	1	4.16326530612245
15	1.26666666666667	19	-4.93529919042661	0.771428571428571	3.38775510204082
17	1.17647058823529	20	-6.41906034937536	0.617647058823529	3.18367346938776
5	3.2	16	5.20831122924838	1	5.61224489795918
5	2.8	14	3.20831122924838	1	5.61224489795918
4	1.5	6	-3.44666725320382	1	4.61224489795918
5	2.8	14	3.20831122924838	1	5.61224489795918
5	1.4	7	-3.79168877075162	1	6.42857142857143
6	1.5	9	-2.68957835275344	0.666666666666667	4.71428571428571
5	3.2	16	5.20831122924838	1	5.61224489795918
