class	typeFreq	Stem1	Stem2	Stem3	Stem4	Stem5	Stem6	Stem7	Stem8	Stem9	Stem10	Stem10a	Stem11	Stem12	Stem13	Stem14	Stem15	Stem16	Stem17	Stem18	Stem19
C36	1	-ɛ	-ɛ	-av	-av	-av	-av	-avj	-y	-y	-o	-oʁ	-aʃ	-aʃj	-aʃ	-aʃ	-aʃ	-avwaʁ	-aʃ	-y	-y
C38	1	-ø	-ø	-uv	-uv	-œv	-uv	-uvj	-y	-y	-u	-uʁ	-ɥis	-ɥisj	-ø	-uv	-uv	-uvwaʁ	-uv	-y	-y
C39	3	-ø	-ø	-uv	-uv	-œv	-uv	-uvj	-y	-y	-uv	-uvʁi	-œv	-uvj	-ø	-uv	-uv	-uvwaʁ	-uv	-y	-y
C40	4	-o	-o	-al	-al	-al	-al	-alj	-aly	-aly	-od	-odʁi	-aj	-alj	-o	-al	-al	-alwaʁ	-al	-aly	-aly
C41	1	-ø	-ø	-ul	-ul	-œl	-ul	-ulj	-uly	-uly	-ud	-udʁi	-œj	-ulj	-ø	-ul	-ul	-ulwaʁ	-ul	-uly	-uly
C42	3	-wa	-wa	-waj	-waj	-wa	-waj	-waj	-i	-i	-wa	-waʁ	-wa	-waj	-wa	-waj	-waj	-waʁ	-waj	-i	-iz
C43	2	-je	-je	-ɛj	-ɛj	-ɛj	-ɛj	-ɛj	-i	-i	-je	-jeʁ	-ɛj	-ɛj	-je	-ɛj	-ɛj	-waʁ	-ɛj	-i	-iz
C45	52	-	-	-d	-d	-d	-d	-dj	-di	-di	-d	-dʁi	-d	-dj	-	-d	-d	-dʁ	-d	-dy	-dy
C46	11	-ɑ̃	 -ɑ̃	  -ən	  -ən	  -ɛn	  -ən	  -ənj	-i	-i	-ɑ̃d	-ɑ̃dʁi	 -ɛn	 -ənj	 -ɑ̃	-ən	-ən	-ɑ̃dʁ	 -ən	 -i	 -iz
C47	9	-	-	-t	-t	-t	-t	-tj	-ti	-ti	-t	-tʁi	-t	-tj	-	-t	-t	-tʁ	-t	-ty	-ty
C48	15	-ɛ	-ɛ	-ɛt	-ɛt	-ɛt	-ɛt	-ɛtj	-i	-i	-ɛt	-ɛtʁi	-ɛt	-ɛtj	-ɛ	-ɛt	-ɛt	-ɛtʁ	-ɛt	-i	-iz
C49	20	-ɛ̃	 -ɛ̃	  -ɛɲ	  -ɛɲ	  -ɛɲ	  -ɛɲ	  -ɛɲ	-ɛɲi	-ɛɲi	-ɛ̃d	-ɛ̃dʁi	 -ɛɲ	 -ɛɲ	 -ɛ̃	-ɛɲ	-ɛɲ	-ɛ̃dʁ	 -ɛɲ	 -ɛ̃	  -ɛ̃t
C50	8	-ɛ̃	 -ɛ̃	  -aɲ	  -aɲ	  -aɲ	  -aɲ	  -aɲ	-aɲi	-aɲi	-ɛ̃d	-ɛ̃dʁi	 -aɲ	 -aɲ	 -ɛ̃	-aɲ	-aɲ	-ɛ̃dʁ	 -aɲ	 -ɛ̃	  -ɛ̃t
C52	2	-	-	-k	-k	-k	-k	-kj	-ki	-ki	-k	-kʁi	-k	-kj	-	-k	-k	-kʁ	-k	-ky	-ky
C53	11	-ɛ	-ɛ	-əz	!fɛt	-ɔ̃	 -əz	 -əzj	-i	-i	-ə	-əʁ	-as	-asj	-ɛ	-əz	!fɛt	-ɛʁ	-əz	-ɛ	-ɛt
C54	4	-ɛ	-ɛ	-ɛz	-ɛz	-ɛz	-ɛz	-ɛzj	-y	-y	-ɛ	-ɛʁ	-ɛz	-ɛzj	-ɛ	-ɛz	-ɛz	-ɛʁ	-ɛz	-y	-y
