class	typeFreq	Inf	Impv2sg	Impv1pl	Impv2pl	1stPple	2ndPple	IndPres1sg	IndPres2sg	IndPres3sg	IndPres1pl	IndPres2pl	IndPres3pl	IndPast1sg	IndPast2sg	IndPast3sg	IndPast1pl	IndPast2pl	IndPast3pl	SubjPres1sg	SubjPres2sg	SubjPres3sg	SubjPres1pl	SubjPres2pl	SubjPres3pl	SubjPast1sg	SubjPast2sg	SubjPast3sg	SubjPast1pl	SubjPast2pl	SubjPast3pl
C121	60	-∅-a	-∅-	-∅-um	-∅-ið	-∅-andi	-∅-t	-∅-i	-∅-ir	-∅-ir	-∅-um	-∅-ið	-∅-a	-∅-ti	-∅-tir	-∅-ti	-∅-tum	-∅-tuð	-∅-tu	-∅-i	-∅-ir	-∅-i	-∅-um	-∅-ið	-∅-i	-∅-ti	-∅-tir	-∅-ti	-∅-tum	-∅-tuð	-∅-tu
C122	10	-∅-ja	-∅-	-∅-jum	-∅-ið	-∅-jandi	-∅-t	-∅-i	-∅-ir	-∅-ir	-∅-jum	-∅-ið	-∅-ja	-∅-di	-∅-dir	-∅-di	-∅-dum	-∅-duð	-∅-du	-∅-i	-∅-ir	-∅-i	-∅-jum	-∅-ið	-∅-i	-∅-di	-∅-dir	-∅-di	-∅-dum	-∅-duð	-∅-du
C123	2	-æ-ja	-æ-	-æ-jum	-æ-ið	-æ-jandi	!1Sótt	-æ-i	-æ-ir	-æ-ir	-æ-jum	-æ-ið	-æ-ja	!1Sótti	!1Sóttir	!1Sótti	!1Sóttum	!1Sóttuð	!1Sóttu	-æ-i	-æ-ir	-æ-i	-æ-jum	-æ-ið	-æ-i	-æ-ði	-æ-ðir	-æ-ði	-æ-ðum	-æ-ðuð	-æ-ðu
C124	1	-y-ja	-y-	-y-jum	-y-ið	-y-jandi	!1Sótt	-y-i	-y-ir	-y-ir	-y-jum	-y-ið	-y-ja	!1Sótti	!1Sóttir	!1Sótti	!1Sóttum	!1Sóttuð	!1Sóttu	-y-i	-y-ir	-y-i	-y-jum	-y-ið	-y-i	!1Sætti	!1Sættir	!1Sætti	!1Sættum	!1Sættuð	!1Sættu
C125	1	-y-ja	-y-	-y-jum	-y-ið	-y-jandi	-o-t	-y-i	-y-ir	-y-ir	-y-jum	-y-ið	-y-ja	-o-ti	-o-tir	-o-ti	-o-tum	-o-tuð	-o-tu	-y-i	-y-ir	-y-i	-y-jum	-y-ið	-y-i	-o-ti	-o-tir	-o-ti	-o-tum	-o-tuð	-o-tu
C126	1	-∅-a	-∅-aðu	-∅-um	-∅-ið	-∅-andi	-∅-t	-∅-a	-∅-ar	-∅-ar	-∅-um	-∅-ið	-∅-a	-∅-ði	-∅-ðir	-∅-ði	-∅-ðum	-∅-ðuð	-∅-ðu	-∅-i	-∅-ir	-∅-i	-∅-um	-∅-ið	-∅-i	-∅-ði	-∅-ðir	-∅-ði	-∅-ðum	-∅-ðuð	-∅-ðu
C127	1	-e-ja	-e-	-e-jum	-e-ið	-e-jandi	-a-t	-e-i	-e-ir	-e-ir	-e-jum	-e-ið	-e-ja	-a-ði	-a-ðir	-a-ði	-ö-ðum	-ö-ðuð	-ö-ðu	-e-i	-e-ir	-e-i	-e-jum	-e-ið	-e-i	-e-ði	-e-ðir	-e-ði	-e-ðum	-e-ðuð	-e-ðu
C128	1	-e-ja	-e-i	-e-jum	-e-ið	-e-jandi	-a-að	-e-i	-e-ir	-e-ir	-e-jum	-e-ið	-e-ja	-a-ði	-a-ðir	-a-ði	-ö-ðum	-ö-ðuð	-ö-ðu	-e-i	-e-ir	-e-i	-e-jum	-e-ið	-e-i	-e-ði	-e-ðir	-e-ði	-e-ðum	-e-ðuð	-e-ðu
C129	28	-∅-a	-∅-	-∅-um	-∅-ið	-∅-andi	!1Stt	-∅-i	-∅-ir	-∅-ir	-∅-um	-∅-ið	-∅-a	-∅-ði	-∅-ðir	-∅-ði	-∅-ðum	-∅-ðuð	-∅-ðu	-∅-i	-∅-ir	-∅-i	-∅-um	-∅-ið	-∅-i	-∅-ði	-∅-ðir	-∅-ði	-∅-ðum	-∅-ðuð	-∅-ðu
C130	19	-∅-ja	-∅-	-∅-jum	-∅-ið	-∅-jandi	-∅-t	-∅-i	-∅-ir	-∅-ir	-∅-jum	-∅-ið	-∅-ja	-∅-ði	-∅-ðir	-∅-ði	-∅-ðum	-∅-ðuð	-∅-ðu	-∅-i	-∅-ir	-∅-i	-∅-jum	-∅-ið	-∅-i	-∅-ði	-∅-ðir	-∅-ði	-∅-ðum	-∅-ðuð	-∅-ðu
