class	typeFreq	NomSg	AccSg	GenSg	LocSg	DatSg	InstSg	NomPl	AccPl	GenPl	LocPl	DatPl	InstPl
74	4	*N/	*N/	y/	y/	y/	/ju	y/	y/	ej/	ax/	am/	ami/
75	1	N/	N/	y/	y/	y/	ju/	y/	y/	ej/	ax/	am/	ami/
76	77	/N	/N	/y	/y	/y	/ju	/y	y	ej/	ax/	am/	ami/
77	6	/N	/N	/y	/y	/y	/ju	/y	ej/	ej/	ax/	am/	ami/
78	1	*N/	*N/	y/	y/	y/	/ju	y/	ej/	ej/	ax/	am/	ami/
79	1	*N/	*N/	a/	e/	u/	om/	y/	y/	*N/	ax/	am/	ami/
80	90	a/	a/	y/	e/	e/	oj/	y/	y/	*N/	ax/	am/	ami/
81	2	/o	/o	/a	/e	/y	/om	a/	a/	*N/	ax/	am/	ami/
82	72	o/	o/	a/	e/	y/	om/	a/	a/	*N/	ax/	am/	ami/
83	2	a/	a/	y/	e/	e/	oj/	/y	y	*N/	ax/	am/	ami/
84	6	a/	a/	y/	e/	e/	oj/	y/	*N/	*N/	ax/	am/	ami/
85	2	/jen*kN	/jen*kN	/jenka	/jenke	/jenku	/jenkom	/jata	/jata	/jatN	/jatax	/jatam	/jatami
86	111	/jen*kN	/jenka	/jenka	/jenke	/jenku	/jenkom	/jata	/jatN	/jatN	/jatax	/jatam	/jatami
87	9	/a	/a	/eny	/eny	/eny	/enom	ena/	ena/	enN/	enax/	enam/	enami/
